Codrecurso,URLNombreCast,Nombre,URLNombreBuscador,CodCategoria,IdRecursoCategoria,IDCATEGORIA,NombreLocalidad,Tipo,Especialidad,Path,ImgFichero,DescripZona,Distancia,GEORR_X,GEORR_Y,DIPLOMACOMPROMISO
"1117","101","101","Restauracion","081005","2006","02010000","BERRIOZAR","Restaurantes","Casera o regional","02\01\00\00\","1117FotoTH1.jpg","Cuenca de Pamplona","","608385","4743626","NO"
"4021","A Queimada","A Queimada","Restauracion","081002","5732","02010000","TUDELA","Restaurantes","Casera o regional","02\01\00\00\","4021FotoTH1.jpg","La Ribera","","616494","4655397","NO"
"180","Abba Reino de Navarra","Abba Reino de Navarra","Restauracion","","2969","02040000","PAMPLONA","Restaurantes","Casera o regional","01\01\01\00\","180FotoTH1.jpg","Cuenca de Pamplona","","609506","4740422","SI"
"263","AC Ciudad de Tudela","AC Ciudad de Tudela","Restauracion","","3002","02040000","TUDELA","Restaurantes","Casera o regional","01\01\01\00\","263FotoTH1.JPG","La Ribera","","615198","4657461","NO"
"6594","Acedo","Acedo","Restauracion","081002","6529","02010000","ACEDO","Restaurantes","Casera o regional","02\01\00\00\","6594FotoTH1.JPG","Zona Media","","561346","4723440","NO"
"1093","Adoquín de la Estafeta","Adoquín de la Estafeta","Restauracion","081005","1982","02010000","PAMPLONA","Restaurantes","Casera o regional","02\01\00\00\","1093FotoTH1.jpg","Cuenca de Pamplona","","611082","4741324","NO"
"1261","Aguirre","Aguirre","Restauracion","081005","2150","02010000","ORICÁIN","Restaurantes","Casera o regional","02\01\00\00\","1261FotoTH1.jpg","Cuenca de Pamplona","","612831","4745743","NO"
"3855","Agustinos","Agustinos","Restauracion","","3019","02040000","BERRIOPLANO","Restaurantes","Casera o regional","01\01\01\00\","3855FotoTH1.jpg","Cuenca de Pamplona","","607489","4743240","NO"
"4579","Aire de Bardenas","Aire de Bardenas","Restauracion","","3040","02040000","TUDELA","Restaurantes","","01\01\01\00\","4579FotoTH1.jpg","La Ribera","","620093","4654764","NO"
"5309","Aitona","Aitona","Restauracion","081005","2843","02010000","GERENDIAIN","Restaurantes","Casera o regional","02\01\00\00\","5309FotoTH1.jpg","Pirineos","","607950","4757991","NO"
"1522","Aixeleku Jatetxea","Aixeleku Jatetxea","Restauracion","081005","2411","02010000","OLAZTI/OLAZAGUTIA","Restaurantes","Casera o regional","02\01\00\00\","1522FotoTH1.jpg","Pirineos","","565583","4747343","NO"
"1400","Aizberri","Aizberri","Restauracion","081005","2289","02010000","BERRIOZAR","Restaurantes","Casera o regional","","","Cuenca de Pamplona","","607966","4743857","NO"
"1501","Akelarre","Akelarre","Restauracion","081005","2390","02010000","ALTSASU/ALSASUA","Restaurantes","Casera o regional","02\01\00\00\","1501FotoTH1.jpg","Pirineos","","567529","4749386","NO"
"1560","Alai-Taberna","Alai-Taberna","Restauracion","081005","2449","02010000","EULATE","Restaurantes","Casera o regional","02\01\00\00\","1560FotoTH1.jpg","Pirineos","","565033","4736184","NO"
"97","Alaiz","Alaiz","Restauracion","","2936","02040000","BERIÁIN","Restaurantes","Casera o regional","01\01\03\00\","97FotoTH1.jpg","Cuenca de Pamplona","","611906","4732491","NO"
"3375","Álamo","Álamo","Restauracion","                                                  ","2656","02030000","PAMPLONA","Bares de pinchos","","02\03\00\00\","3375FotoTH1.jpg","Cuenca de Pamplona","","611652","4740782","NO"
"186","Albret","Albret","Restauracion","","2972","02040000","PAMPLONA","Restaurantes","Casera o regional","01\01\01\00\","186FotoTH1.jpg","Cuenca de Pamplona","","608790","4740534","NO"
"5954","Alday","Alday","Restauracion","","5879","02030000","ESTELLA-LIZARRA","Bares de pinchos","","02\03\00\00\","5954FotoTH1.JPG","Zona Media","","579706","4724687","NO"
"7066","Alhama","Alhama","Restauracion","081003","6959","02010000","CINTRUÉNIGO","Restaurantes","Casera o regional, Innovadora","02\01\00\00\","7066FotoTH1.JPG","La Ribera","","599490","4659066","NO"
"994","Alhambra","Alhambra","Restauracion","081004","1883","02010000","PAMPLONA","Restaurantes","Casera o regional","02\01\00\00\","994FotoTH1.JPG","Cuenca de Pamplona","","611093","4740906","NO"
"990","Alsafir","Alsafir","Restauracion","081002","1879","02010000","PAMPLONA","Restaurantes","Internacional","02\01\00\00\","990FotoTH1.jpg","Cuenca de Pamplona","","611463","4740651","NO"
"1523","Altxunea Erretegia","Altxunea Erretegia","Restauracion","081002","2412","02010000","ITUREN","Restaurantes","Asador","02\01\00\00\","1523FotoTH1.jpg","Pirineos","","605316","4775983","NO"
"1290","Altzatenea","Altzatenea","Restauracion","081001","2179","02010000","ZUGARRAMURDI","Restaurantes","Asador, Casera o regional","02\01\00\00\","1290FotoTH1.JPG","Pirineos","","618332","4791725","NO"
"1642","Amabella","Amabella","Restauracion","081101                                            ","2531","02020000","PAMPLONA","Cafeterías","","","","Cuenca de Pamplona","","610404","4740406","NO"
"1181","Amaral","Amaral","Restauracion","081005","2070","02010000","ORORBIA","Restaurantes","","02\01\00\00\","1181FotoTH1.jpg","Cuenca de Pamplona","","602380","4741297","NO"
"6366","Amatxi","Amatxi","Restauracion","081002","6409","02010000","VILLAVA","Restaurantes","Casera o regional","02\01\00\00\","6366FotoTH1.JPG","Cuenca de Pamplona","","613533","4743447","NO"
"5955","Amaya","Amaya","Restauracion","","5880","02030000","ESTELLA-LIZARRA","Bares de pinchos","","02\03\00\00\","5955FotoTH1.JPG","Zona Media","","579223","4724679","NO"
"5956","Ametsa","Ametsa","Restauracion","","5881","02030000","ESTELLA-LIZARRA","Bares de pinchos","","02\03\00\00\","5956FotoTH1.JPG","Zona Media","","579361","4724317","NO"
"1060","Ameztia","Ameztia","Restauracion","081002","1949","02010000","DONEZTEBE/SANTESTEBAN","Restaurantes","Asador","02\01\00\00\","1060FotoTH1.jpg","Pirineos","","608128","4776188","NO"
"996","Amóstegui","Amóstegui","Restauracion","081005","1885","02010000","PAMPLONA","Restaurantes","Casera o regional","02\01\00\00\","996FotoTH1.jpg","Cuenca de Pamplona","","610847","4741355","NO"
"1240","Anaiak","Anaiak","Restauracion","081005","2129","02010000","UHARTE-ARAKIL","Restaurantes","Casera o regional","","","Pirineos","","584122","4752421","NO"
"1557","Anaitasuna","Anaitasuna","Restauracion","081005","2446","02010000","PAMPLONA","Restaurantes","Casera o regional","02\01\00\00\","1557FotoTH1.jpg","Cuenca de Pamplona","","610605","4741188","NO"
"3364","Anaitasuna","Anaitasuna","Restauracion","                                                  ","2645","02030000","PAMPLONA","Bares de pinchos","","02\03\00\00\","3364FotoTH1.jpg","Cuenca de Pamplona","","610617","4741190","NO"
"1059","Andamur","Andamur","Restauracion","081001","1948","02010000","IMÁRCOAIN","Restaurantes","","02\01\00\00\","1059FotoTH1.jpg","Cuenca de Pamplona","","613433","4731767","NO"
"233","Andía","Andía","Restauracion","","2990","02040000","ORKOIEN","Restaurantes","Casera o regional","01\01\01\00\","233FotoTH1.jpg","Cuenca de Pamplona","","606736","4741876","SI"
"5957","Andía","Andía","Restauracion","","5882","02030000","ESTELLA-LIZARRA","Bares de pinchos","","","","Zona Media","","579274","4724766","NO"
"1721","Andrea","Andrea","Restauracion","081101                                            ","2610","02020000","PAMPLONA","Cafeterías","","","","Cuenca de Pamplona","","610734","4742771","NO"
"1683","Anduriña","Anduriña","Restauracion","081101                                            ","2572","02020000","PAMPLONA","Cafeterías","","","","Cuenca de Pamplona","","610878","4739889","NO"
"3935","Ángel","Ángel","Restauracion","081001","2673","02010000","BARÁSOAIN","Restaurantes","Casera o regional","02\01\00\00\","3935FotoTH1.jpg","Zona Media","","611102","4717672","NO"
"3938","Animals","Animals","Restauracion","081005","2676","02010000","BURLADA","Restaurantes","Innovadora","02\01\00\00\","3938FotoTH1.jpg","Cuenca de Pamplona","","616102","4742188","NO"
"7096","Ansoleaga 33","Ansoleaga 33","Restauracion","081004","6996","02010000","PAMPLONA","Restaurantes","Casera o regional, Innovadora","02\01\00\00\","7096FotoTH1.JPG","Cuenca de Pamplona","","610753","4741445","NO"
"1105","Antigua Taberna Tabla Tomasa","Antigua Taberna Tabla Tomasa","Restauracion","081005","1994","02010000","PAMPLONA","Restaurantes","Internacional","02\01\00\00\","1105FotoTH1.jpg","Cuenca de Pamplona","","609478","4741292","NO"
"1145","Antonio","Antonio","Restauracion","081005","2034","02010000","LODOSA","Restaurantes","Casera o regional","02\01\00\00\","1145FotoTH1.jpg","La Ribera","","576366","4697081","NO"
"1246","Aragón","Aragón","Restauracion","081005","2135","02010000","PAMPLONA","Restaurantes","Casera o regional","02\01\00\00\","1246FotoTH1.jpg","Cuenca de Pamplona","","610823","4739829","NO"
"5934","Aragón","Aragón","Restauracion","","5859","02030000","TUDELA","Bares de pinchos","","02\03\00\00\","5934FotoTH1.JPG","La Ribera","","615327","4657573","NO"
"1062","Arakindegia","Arakindegia","Restauracion","081002","1951","02010000","LEITZA","Restaurantes","Casera o regional","02\01\00\00\","1062FotoTH1.jpg","Pirineos","","588290","4770404","NO"
"1150","Aralar","Aralar","Restauracion","081005","2039","02010000","PAMPLONA","Restaurantes","","02\01\00\00\","1150FotoTH1.jpg","Cuenca de Pamplona","","611680","4740838","NO"
"3352","Aralar","Aralar","Restauracion","                                                  ","2633","02030000","PAMPLONA","Bares de pinchos","","02\03\00\00\","3352FotoTH1.jpg","Cuenca de Pamplona","","611673","4740842","NO"
"4340","Aralar","Aralar","Restauracion","","3031","02040000","AIZOÁIN","Restaurantes","Casera o regional","01\01\03\00\","4340FotoTH1.jpg","Cuenca de Pamplona","","607698","4744278","NO"
"4487","Arandigoyen","Arandigoyen","Restauracion","","3038","02040000","ARANDIGOYEN","Restaurantes","Asador","01\01\03\00\","4487FotoTH1.jpg","Zona Media","","583014","4724426","NO"
"115","Arangoiti","Arangoiti","Restauracion","","2943","02040000","YESA","Restaurantes","Casera o regional","01\01\03\00\","115FotoTH1.jpg","Zona Media","","647545","4720207","NO"
"7355","Arantza","Arantza","Restauracion","081004","7447","02010000","ARANTZA","Restaurantes","Asador, De autor, Vegetariana","02\01\00\00\","7355FotoTH1.JPG","Pirineos","","601864","4782368","NO"
"5320","Arbizu Eko Kanpina","Arbizu Eko Kanpina","Restauracion","","3059","02040000","ARBIZU","Restaurantes","","01\03\00\00\","5320FotoTH1.jpg","Pirineos","","578724","4749939","SI"
"1665","Arcos","Arcos","Restauracion","081101                                            ","2554","02020000","PAMPLONA","Cafeterías","","","","Cuenca de Pamplona","","608960","4740469","NO"
"236","Ardoi","Ardoi","Restauracion","","2992","02040000","ZIZUR MAYOR","Restaurantes","Casera o regional","01\01\03\00\","236FotoTH1.jpg","Cuenca de Pamplona","","606694","4738676","NO"
"273","Area 99","Area 99","Restauracion","","3004","02040000","ESTELLA-LIZARRA","Restaurantes","Casera o regional","01\01\03\00\","273FotoTH1.jpg","Zona Media","","579763","4722761","NO"
"7303","Área de Servicio Alsasua Dirección Irún","Área de Servicio Alsasua Dirección Irún","Restauracion","081101","7277","02020000","ALTSASU/ALSASUA","Cafeterías","","","","Pirineos","","0","0","NO"
"1420","Área de Servicio de Tudela","Área de Servicio de Tudela","Restauracion","081001","2309","02010000","FONTELLAS","Restaurantes","Casera o regional","02\01\00\00\","1420FotoTH1.jpg","La Ribera","","615837","4652131","NO"
"1705","Area De Servicio De Valtierra (margen N.)","Area De Servicio De Valtierra (margen N.)","Restauracion","081101                                            ","2594","02020000","VALTIERRA","Cafeterías","","","","La Ribera","","609300","4672874","NO"
"1635","Area De Servicio Imarcoain Sur","Area De Servicio Imarcoain Sur","Restauracion","081101","2524","02020000","IMÁRCOAIN","Cafeterías","","","","Cuenca de Pamplona","","613085","4732034","NO"
"1452","Area de Servicios Zuasti","Area de Servicios Zuasti","Restauracion","081005","2341","02010000","ZUASTI","Restaurantes","Casera o regional","02\01\00\00\","1452FotoTH1.jpg","Cuenca de Pamplona","","602586","4746275","NO"
"1384","Argia","Argia","Restauracion","081005","2273","02010000","NOÁIN","Restaurantes","Casera o regional","02\01\00\00\","1384FotoTH1.jpg","Cuenca de Pamplona","","611750","4735276","NO"
"6354","Argileku","Argileku","Restauracion","081002","6299","02010000","PAMPLONA","Restaurantes","Asador, Casera o regional","02\01\00\00\","6354FotoTH1.JPG","Cuenca de Pamplona","","0","0","NO"
"4029","Aribe","Aribe","Restauracion","","3025","02040000","ARIBE","Restaurantes","Casera o regional","01\01\05\00\","4029FotoTH1.jpg","Pirineos","","641446","4756260","NO"
"1238","Aritz-Alde","Aritz-Alde","Restauracion","081001","2127","02010000","ETXARRI-ARANATZ","Restaurantes","Casera o regional","","","Pirineos","","576362","4751006","NO"
"1454","Aritzalko","Aritzalko","Restauracion","081005","2343","02010000","ETXARRI-ARANATZ","Restaurantes","Casera o regional","02\01\00\00\","1454FotoTH1.jpg","Pirineos","","575145","4749915","NO"
"1385","Armendi","Armendi","Restauracion","081005","2274","02010000","BELZUNCE","Restaurantes","Asador","02\01\00\00\","1385FotoTH1.jpg","Cuenca de Pamplona","","607594","4750598","NO"
"1239","Armua","Armua","Restauracion","081005","2128","02010000","URDAZUBI/URDAX","Restaurantes","Casera o regional","02\01\00\00\","1239FotoTH1.jpg","Pirineos","","619378","4792428","NO"
"1306","Arocena","Arocena","Restauracion","081005","2195","02010000","DONEZTEBE/SANTESTEBAN","Restaurantes","Casera o regional","02\01\00\00\","1306FotoTH1.jpg","Pirineos","","607498","4776726","NO"
"1082","Arotxa","Arotxa","Restauracion","081002","1971","02010000","LEGASA","Restaurantes","Asador","02\01\00\00\","1082FotoTH1.jpg","Pirineos","","610305","4776180","NO"
"4794","Arrobi Borda","Arrobi Borda","Restauracion","","3044","02040000","EUGI","Restaurantes","Casera o regional","01\01\03\00\","4794FotoTH1.jpg","Pirineos","","621090","4763464","NO"
"7092","Artea","Artea","Restauracion","081001","6995","02010000","PAMPLONA","Restaurantes","","02\01\00\00\","7092FotoTH1.JPG","Cuenca de Pamplona","","609917","4742372","NO"
"3925","Artwohl","Artwohl","Restauracion","081002","2668","02010000","PAMPLONA","Restaurantes","Casera o regional","02\01\00\00\","3925FotoTH1.jpg","Cuenca de Pamplona","","611348","4741027","NO"
"4714","Artwohl","Artwohl","Restauracion","                                                  ","2781","02030000","PAMPLONA","Bares de pinchos","","02\03\00\00\","4714FotoTH1.jpg","Cuenca de Pamplona","","611349","4741027","NO"
"1256","Asador Almadía","Asador Almadía","Restauracion","081005","2145","02010000","PAMPLONA","Restaurantes","Internacional","02\01\00\00\","1256FotoTH1.jpg","Cuenca de Pamplona","","610601","4739897","NO"
